topic,term,beta,k
1,action,0.03351253704196336,20
1,jackie,0.0160870901153379,20
1,chan,0.012065833132270488,20
1,van,0.010209868370854752,20
1,fight,0.009591213450382842,20
1,plot,0.009488104296970857,20
1,hong,0.009488104296970857,20
1,kong,0.008869449376498948,20
1,bond,0.008766340223086965,20
1,chinese,0.008147685302615058,20
1,martial,0.007838357842379103,20
1,arts,0.00742592122873116,20
1,films,0.007013484615083221,20
1,damme,0.007013484615083221,20
1,blade,0.006807266308259249,20
2,sex,0.015943599410193098,20
2,characters,0.007636460034718954,20
2,woman,0.00757537812754635,20
2,mr,0.0070867228701655205,20
2,scene,0.006659149519957293,20
2,sexual,0.006475903798439482,20
2,women,0.005865084726713437,20
2,nights,0.005559675190850418,20
2,film's,0.005315347562160003,20
2,party,0.0052542656549873995,20
2,wife,0.004704528490433965,20
2,love,0.0045823646760887555,20
2,husband,0.0041547913258805245,20
2,boogie,0.004093709418707924,20
2,drug,0.004032627511535319,20
3,harry,0.010631074273047924,20
3,character,0.010115102895012206,20
3,sam,0.00980552006819078,20
3,williams,0.008876771587726488,20
3,simon,0.00774163455604791,20
3,max,0.007432051729226474,20
3,good,0.0065033032487621855,20
3,things,0.0062969146975478995,20
3,patch,0.006193720421940754,20
3,douglas,0.005884137595119323,20
3,wild,0.0057809433195121825,20
3,kevin,0.005574554768297894,20
3,hunting,0.005574554768297894,20
3,gets,0.005471360492690749,20
3,plays,0.005471360492690749,20
3,bacon,0.005471360492690749,20
4,new,0.013472923898353018,20
4,joe,0.012248315049552129,20
4,godzilla,0.012248315049552129,20
4,tom,0.009910425429114073,20
4,wild,0.00957644119762292,20
4,york,0.00890847273464062,20
4,west,0.00824050427165832,20
4,island,0.007795191963003451,20
4,smith,0.0071272235000211515,20
4,disaster,0.0061252708055477036,20
4,town,0.005679958496892833,20
4,park,0.005679958496892833,20
4,hanks,0.005679958496892833,20
4,made,0.005234646188237966,20
4,water,0.004789333879583101,20
5,love,0.021722393250261852,20
5,family,0.014387204701799003,20
5,story,0.010179422123611002,20
5,romantic,0.009781388636485115,20
5,life,0.009326493222626952,20
5,father,0.0077343592741233895,20
5,mother,0.0072226019335329536,20
5,woman,0.006938292299871608,20
5,wedding,0.006653982666210253,20
5,comedy,0.006142225325619821,20
5,young,0.005118710644438959,20
5,julia,0.005061848717706692,20
5,husband,0.0044932294503839875,20
5,relationship,0.004436367523651718,20
5,together,0.00437950559691945,20
6,alien,0.02574891158325094,20
6,aliens,0.015605959799864674,20
6,ship,0.015038521937857048,20
