topic,term,beta,k
1,action,0.03468253068429138,25
1,jackie,0.017453531722477517,25
1,chan,0.013007338442009415,25
1,van,0.010450777305740256,25
1,fight,0.01033962247372856,25
1,hong,0.010228467641716857,25
1,bond,0.009672693481658338,25
1,kong,0.009339228985623237,25
1,chinese,0.008783454825564724,25
1,martial,0.008561145161541318,25
1,plot,0.00833883549751791,25
1,arts,0.00822768066550621,25
1,films,0.008005371001482804,25
1,movies,0.008005371001482804,25
1,damme,0.007560751673435996,25
2,cop,0.011860758196103499,25
2,crime,0.01095627739823084,25
2,jackie,0.00964980513463699,25
2,vampire,0.00964980513463699,25
2,police,0.009448809401776405,25
2,action,0.009147315802485513,25
2,de,0.009147315802485513,25
2,tarantino,0.008745324336764332,25
2,jack,0.008644826470334037,25
2,vampires,0.008343332871043144,25
2,pulp,0.008242835004612852,25
2,fiction,0.008142337138182557,25
2,robert,0.007639847806031078,25
2,l,0.007237856340309893,25
2,brown,0.007237856340309893,25
3,life,0.017999305878841677,25
3,family,0.01241747818340746,25
3,love,0.011202386440183692,25
3,father,0.0092658339744208,25
3,man,0.008734231336760398,25
3,mother,0.00850640163490594,25
3,town,0.007063480189827705,25
3,woman,0.007025508572851968,25
3,home,0.006304047850312849,25
3,husband,0.006304047850312849,25
3,wife,0.006228104616361362,25
3,children,0.006152161382409876,25
3,son,0.005506643893822245,25
3,boy,0.005430700659870762,25
3,relationship,0.005088956107089073,25
4,war,0.023727548108385264,25
4,men,0.015969037922248484,25
4,battle,0.01158379303443205,25
4,army,0.010796697798157295,25
4,action,0.009897160385271874,25
4,west,0.009897160385271874,25
4,private,0.009784718208661196,25
4,ryan,0.009672276032050519,25
4,soldiers,0.008997622972386453,25
4,wild,0.007648316853058319,25
4,cage,0.00753587467644764,25
4,spielberg,0.006748779440172889,25
4,movie,0.006074126380508824,25
4,kevin,0.005511915497455436,25
4,line,0.00528703114423408,25
4,group,0.00528703114423408,25
5,godzilla,0.017035020732496603,25
5,new,0.016260842367994854,25
5,max,0.012854457564187127,25
5,york,0.010377086797781513,25
5,species,0.009602908433279765,25
5,crystal,0.008519058722977308,25
5,broderick,0.0078997160313759,25
5,island,0.007435209012674848,25
5,first,0.006506194975272746,25
5,effects,0.006506194975272746,25
5,henstridge,0.006506194975272746,25
5,dr,0.006351359302372392,25
5,giant,0.006196523629472043,25
5,matthew,0.00604168795657169,25
5,park,0.005886852283671339,25
6,joe,0.019374606282329215,25
6,simon,0.012572347932557085,25
6,dog,0.007840342124019958,25
6,douglas,0.007544591760986385,25
6,ghost,0.0073967165794696045,25
6,novel,0.007248841397952815,25
6,book,0.006805215853402461,25
6,playing,0.00621371512733532,25
6,allen,0.00621371512733532,25
6,helen,0.00621371512733532,25
6,bobby,0.006065839945818532,25
6,grace,0.005770089582784962,25
6,old,0.0054743392197513915,25
6,steven,0.005178588856717823,25
6,paltrow,0.005030713675201037,25
7,film,0.018137949342003246,25
7,ship,0.01472114972678744,25
7,titanic,0.013932657507891492,25
7,girls,0.009464534934147758,25
7,spice,0.00893887345488379,25
7,video,0.008807458085067797,25
7,dvd,0.008807458085067797,25
7,home,0.008150381235987833,25
7,version,0.007493304386907877,25
7,story,0.006441981428379938,25
7,special,0.006441981428379938,25
7,love,0.005784904579299979,25
7,jack,0.005784904579299979,25
7,rose,0.005784904579299979,25
7,well,0.005653489209483988,25
7,footage,0.005653489209483988,25
7,black,0.005653489209483988,25
8,planet,0.016902451973716776,25
8,effects,0.01656102278527689,25
8,alien,0.015622092517067192,25
8,space,0.014853876843077438,25
8,earth,0.01348816008931788,25
8,special,0.01212244333555831,25
8,mars,0.01212244333555831,25
8,action,0.011012798473128669,25
8,ship,0.010244582799138919,25
8,crew,0.009903153610699022,25
8,aliens,0.009134937936709274,25
8,sci-fi,0.00870815145115941,25
8,mission,0.008537436856939463,25
8,deep,0.008537436856939463,25
8,troopers,0.006659576320520063,25
9,school,0.01490938544626579,25
9,things,0.0131944499410326,25
9,high,0.010819923856863568,25
9,harry,0.009764578930566217,25
9,wild,0.008577315888481703,25
9,sam,0.00844539777269453,25
9,bill,0.008313479656907367,25
9,sex,0.00791772530954586,25
9,campbell,0.007258134730610018,25
9,henry,0.005807035456951163,25
9,party,0.005411281109589655,25
9,bacon,0.005147444878015318,25
9,comedy,0.005015526762228149,25
9,alice,0.004883608646440981,25
9,performance,0.004751690530653814,25
9,noir,0.004751690530653814,25
9,denise,0.004751690530653814,25
