feature,chi2,p,n_target,n_reference
life,114.32855324901863,0,983,487
jackie,85.27958224302938,0,210,47
truman,79.37566181086623,0,121,11
great,69.31431970596296,1.1102230246251565e-16,744,396
mulan,67.32265182400252,2.220446049250313e-16,79,1
war,63.26962776403657,1.7763568394002505e-15,259,90
world,53.075390911346446,3.2096547641913276e-13,624,341
excellent,52.836040959281966,3.6259883984257613e-13,146,37
shrek,52.39701443025332,4.5341508325691393e-13,59,0
flynt,52.23703527188705,4.919398222114069e-13,62,1
also,51.93359304122423,5.740963260336684e-13,1200,765
family,49.51346813752524,1.9700907571973403e-12,417,205
titanic,49.27079629580829,2.2295498780522394e-12,104,19
wonderful,48.25007584449416,3.751887689418254e-12,166,51
outstanding,48.19386476572362,3.860911590436444e-12,69,5
wars,47.859349080219516,4.579225887368921e-12,141,38
perfect,47.492045623378445,5.522804435997841e-12,241,95
damon,47.104072309465806,6.731615265209712e-12,65,4
cameron,45.77961580682226,1.3233303342019553e-11,106,22
political,44.75593592301935,2.2318924486341984e-11,123,31
best,44.337127529290235,2.7642332867117148e-11,810,493
memorable,43.2763558761444,4.7529202795715264e-11,117,29
wonderfully,42.448309906416924,7.257505707514156e-11,75,10
true,41.438330835122144,1.2164858009811041e-10,270,120
perfectly,41.42798892064157,1.2229384172002256e-10,128,36
fiction,40.07606493194533,2.4426360933915703e-10,171,61
jedi,39.453517644262064,3.35962035968862e-10,69,9
toy,39.321179665237,3.595204134398955e-10,87,17
lebowski,38.048421891766644,6.901050841889855e-10,46,1
effective,37.572613428101306,8.80724160268187e-10,146,49
many,37.26163477990425,1.0329687105681273e-9,780,488
american,37.17187948445322,1.0816232354216027e-9,343,174
era,36.462622715374046,1.5562203747876424e-9,63,8
animation,36.150699346392706,1.8263293100062583e-9,109,30
bulworth,35.40938880731942,2.671957877176112e-9,46,2
terrific,35.210554563058196,2.9591542549667338e-9,96,24
gattaca,34.634330032035024,3.97828092690844e-9,39,0
subtle,33.98975315820081,5.5403077681148716e-9,104,29
pulp,32.26978170533791,1.3418400057751967e-8,86,21
hilarious,32.232047759583075,1.368153645930903e-8,146,54
ordell,31.97001447522484,1.5657084184717007e-8,36,0
finest,31.78755972060744,1.719908349073762e-8,50,5
cauldron,31.00771211039545,2.570051993444622e-8,41,2
hanks,31.001786398718817,2.5779105072842867e-8,72,15
scorsese,30.583134630300375,3.198621656430589e-8,46,4
derek,29.65533100883852,5.161049732027578e-8,50,6
performance,29.249093085231447,6.364600868558057e-8,549,336
dark,29.120567506141175,6.801112473198145e-8,211,98
religion,28.860430775207124,7.778586652573694e-8,44,4
quite,28.77628869954691,8.123965489215124e-8,416,240
disney,28.74306805930321,8.264520579004397e-8,150,60
portrayal,28.655795072159837,8.645488025482706e-8,71,16
realistic,28.614225429704664,8.833087927762051e-8,98,30
superb,28.60506824443484,8.874958634663699e-8,75,18
different,28.510553801438665,9.318913996025913e-8,283,147
tarantino,27.868928287044206,1.2981783314991446e-7,74,18
oscar,27.830632236847,1.3241295271360087e-7,150,61
guido,27.529539039646178,1.547134395041283e-7,31,0
truman's,27.529539039646178,1.547134395041283e-7,31,0
beautiful,27.485444581013258,1.5828125266015292e-7,203,95
lucas,27.259093486107286,1.779363040244064e-7,81,22
rocky,26.441923096564675,2.715816825871187e-7,66,15
ripley,26.319039935501493,2.894213226856124e-7,53,9
brilliant,26.0321849494596,3.357728739494803e-7,127,49
leila,25.753366537516925,3.8794971202182893e-7,29,0
history,25.738496809507062,3.9095026871383e-7,151,64
fantastic,25.733100057599824,3.9204502189083e-7,63,14
allows,25.707000235389106,3.9738300405822713e-7,73,19
gives,25.25976221181683,5.010532144744673e-7,325,182
performances,24.925993740591608,5.957373724330139e-7,280,151
strong,24.582268872248022,7.12039053607505e-7,177,82
powerful,24.51372843336963,7.378225501675217e-7,126,50
sweetback,23.977204133602626,9.748308147372597e-7,27,0
overall,23.930524095386822,9.987556363055816e-7,115,44
sweet,23.54233084063835,1.2219551203118684e-6,116,45
especially,23.34079769369557,1.3569112627953572e-6,293,163
reality,23.197643643088377,1.4617633081748238e-6,135,57
taran,23.08912671844916,1.546628585979981e-6,26,0
culture,23.01183818227598,1.610068997459635e-6,73,21
spielberg,22.93600099704201,1.6748548087308635e-6,71,20
job,22.65123468906831,1.9423536465890123e-6,347,203
although,22.638637905188187,1.9551297829600855e-6,488,307
bowfinger,22.239908559981448,2.406200823146243e-6,31,2
nomination,22.21252049453871,2.4407693783867757e-6,50,10
maximus,22.201051827817146,2.4553924447001663e-6,25,0
period,22.12451535597826,2.555256246594695e-6,88,30
jude,22.115613605799133,2.5671325611931195e-6,28,1
tale,22.02716887350924,2.6881824188862424e-6,147,66
flaws,21.97564972632814,2.7613167556950202e-6,86,29
sometimes,21.921357880349024,2.8405486068860952e-6,182,89
solid,21.74004379994611,3.122059091587026e-6,121,50
others,21.709842122734088,3.1715989673442024e-6,192,96
amistad,21.36703174459803,3.7923666185157856e-6,30,2
lambeau,21.31297946169581,3.9008137444618285e-6,24,0
mallory,21.31297946169581,3.9008137444618285e-6,24,0
freedom,21.303226367706966,3.9207106160565885e-6,53,12
homer,21.23248001042728,4.068118802269538e-6,27,1
brown,21.200599876065883,4.136350296168878e-6,90,32
beautifully,21.09596066031791,4.3684800716814465e-6,42,7
trek,21.07657187731816,4.41290616282064e-6,110,44
beauty,20.878831508945712,4.892718434734711e-6,98,37
matrix,20.873130612298144,4.9073021528567295e-6,68,20
anger,20.806937770925316,5.07986123032822e-6,37,5
master,20.695906358234662,5.383096340572102e-6,96,36
america,20.658210142224274,5.490126061546974e-6,119,50
whale,20.495138422319858,5.978290249841756e-6,29,2
apostle,20.424909620074377,6.20172933507579e-6,23,0
winslet,20.349715124887425,6.450269032898248e-6,26,1
captures,20.33157083891651,6.511723683377824e-6,34,4
poker,20.33157083891651,6.511723683377824e-6,34,4
mother,20.05127043722254,7.539342986806474e-6,246,136
portrayed,20.019271284774188,7.666562073183059e-6,63,18
always,19.958058665684828,7.915960929527621e-6,358,217
jesus,19.701851401873846,9.051363157763781e-6,38,6
natural,19.636531063309725,9.366120629517027e-6,77,26
yet,19.56573767279617,9.719674088470853e-6,373,229
donkey,19.536842302942098,9.86780514833363e-6,22,0
castle,19.489167046582804,1.011718267773798e-5,33,4
magnificent,19.489167046582804,1.011718267773798e-5,33,4
